 2022-07-18 13:49:18 log.py | INFO | 🔄️ refresh page.
 2022-07-18 13:49:19 log.py | INFO | 👀 assertText -> 管理后台.
 2022-07-18 13:49:27 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-18 13:49:30 log.py | INFO | 👀 assertNotText -> дом.
 2022-07-18 13:49:32 log.py | INFO | 👀 assertText -> 项目描述.
 2022-07-18 13:49:34 log.py | INFO | 👀 assertText -> placerat.
 2022-07-18 13:49:40 log.py | INFO | 👀 assertNotText -> orci..
 2022-07-18 13:49:43 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-18 13:49:43 log.py | INFO | 👀 assertText -> placerat.
 2022-07-18 13:49:46 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-18 13:49:46 log.py | INFO | 👀 assertText ->  7275.
 2022-07-18 13:49:49 log.py | INFO | ⌛️ implicitly wait: 1s.
 2022-07-18 13:49:49 log.py | INFO | 👀 assertNotText -> placeratinvalid.
 2022-07-18 13:49:56 log.py | INFO | 👀 assertNotText -> placerat.
 2022-07-18 13:49:59 log.py | INFO | 👀 assertText -> placerat.
 2022-07-18 13:50:01 log.py | INFO | 👀 assertText -> 12条/页.
 2022-07-18 13:50:02 log.py | INFO | 👀 assertNotText -> 6条/页.
 2022-07-18 13:50:03 log.py | SUCCESS | generated html file: file:////Users/della/PycharmProjects/pegasus-ui-test/reports/2022_07_18_13_49_03_result.html
 2022-07-18 13:50:03 log.py | SUCCESS | generated log file: file:////Users/della/PycharmProjects/pegasus-ui-test/reports/seldom_log.log
